index,tweet,tweettype
0,@ZubairSabirPTI  pls dont insult the word 'Molna',anger
1,@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger
2,@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger
3,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger
4,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison,anger
5,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
6,I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger
7,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
8,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger
9,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates.",anger
10,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund",anger
11,@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger
12,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger
13,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
14,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted.,anger
15,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman",anger
16,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
17,@__NETFLIXNCHILL I fuck with madden way harder,anger
18,@TrussElise Obama must be fuming.. lol,anger
19,Hate when guys cant control their anger ðŸ™ƒðŸ™ƒ,anger
20,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger
21,Literally fuming fuck sake,anger
22,@TrueAggieFan oh so that's where Brian was! Where was my invite?,anger
23,@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger
24,"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger
25,It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger
26,"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger
27,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger
28,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
29,@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger
30,Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger
31,The rage has died down.,anger
32,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
33,All Brian does is sleep and aggravate me,anger
34,@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _ðŸ˜ƒ,anger
35,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger
36,@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger
37,i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
38,For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
39,@LeonWobYP b***er off. NCFC is a grudge match :),anger
40,Might just leave and aggravate bae,anger
41,"Realest ever, relentless ever, inevitable that I win.",anger
42,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger
43,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger
44,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
45,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived KaitðŸ™ƒ,anger
46,@LiamCannon1 He's just too raging to type properly... Ha ha!,anger
47,#oow16 #sting decent new song,anger
48,Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
49,Just joined #pottermore and was sorted into HUFFLEPUFF ðŸ˜¡ðŸ˜¡ðŸ˜¡ #fuming,anger
50,Just joined #pottermore and was sorted into HUFFLEPUFF ðŸ˜¡ðŸ˜¡ðŸ˜¡,anger
51,"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger
52,"I miss my gran singing Rawhide, in her deep baritone growl.",anger
53,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger
54,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger
55,@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger
56,@fluffysoftlouis no no. I insist that you give me your best insult first,anger
57,@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger
58,@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger
59,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
60,"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
61,Eat my ass' is no longer an insult,anger
62,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
63,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant",anger
64,"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger
65,"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger
66,"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
67,"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
68,"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
69,If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
70,Sting is just too damn earnest for early morning listening.,anger
71,Sting is just too damn earnest for early morning listening. #sting,anger
72,Just seeing Alex revells face gets me angry,anger
73,"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger
74,@danbloom1 beware the fury of a weak king,anger
75,@DJ_JeanFranko growl!!!,anger
76,"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
77,"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger
78,"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger
79,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger
80,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger
81,I hope my hustle don't offend nobody,anger
82,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
83,Lol little things like that make me so angry x,anger
84,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger
85,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted,anger
86,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger
87,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger
88,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger
89,My blood is boiling,anger
90,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt,anger
91,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger
92,"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger
93,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off.,anger
94,im so mad about power rangers. im incensed. im furious.,anger
95,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger
96,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger
97,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger
98,Fuking fuming ðŸ˜¤,anger
99,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing,anger
100,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger
101,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger
102,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger
103,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn,anger
104,Making my buddy cry !! Bitch wait for revenge ðŸ¤—ðŸ‘ŒðŸ»,anger
105,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger
106,I got a NO RESPONSE again from an #irate customer of #amazon ðŸ˜žðŸ˜ž\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger
107,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger
108,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger
109,Actually fuming I have nothing to wear Saturday,anger
110,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger
111,Bloody parking ticket ðŸ˜’ðŸ’¸ #fuming,anger
112,You ever just find that the people around you really irritate you sometimes? That's me right now ðŸ˜’,anger
113,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road,anger
114,"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger
115,@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines #fuming #con!,anger
116,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed,anger
117,Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger
118,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger
119,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger
120,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger
121,@SunandBeachBum 'you people' infuriate me!,anger
122,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
123,So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger
124,Still can't log into my fucking Snapchat#Snapchat #snap,anger
125,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger
126,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger
127,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger
128,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages",anger
129,i feel furious,anger
130,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger
131,Still can't log into my fucking Snapchat #Snapchat,anger
132,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger
133,People irritate my MF soul,anger
134,Im so angry ðŸ˜‚ðŸ™ƒ,anger
135,People fuckin irritate me,anger
136,"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger
